Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
3 Idiots,tt1187043,25 Dec 2009,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh","Rajkumar Hirani, Abhijat Joshi, Vidhu Vinod Chopra",Rajkumar Hirani,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,"386,867"
Taare Zameen Par,tt13300004,02 Nov 2020,"Game-Show, Music","Jonita Gandhi, Tony Kakkar, Sugandha Mishra",N/A,N/A,Aspiring young singers from all over India showcase their talents under the mentorship of prominent artists to impress the judges.,6.5,38
PK,tt2338151,19 Dec 2014,"Comedy, Drama, Sci-Fi","Aamir Khan, Anushka Sharma, Sanjay Dutt","Rajkumar Hirani, Abhijat Joshi",Rajkumar Hirani,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,8.1,"179,767"
Dangal,tt5074352,21 Dec 2016,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",Nitesh Tiwari,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.3,"183,364"
Rang De Basanti,tt5074352,21 Dec 2016,"Action, Biography, Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",Nitesh Tiwari,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,8.3,"183,364"
Lagaan,tt0169102,15 Jun 2001,"Drama, Musical, Sport","Aamir Khan, Raghuvir Yadav, Gracy Singh","Ashutosh Gowariker, Kumar Dave, Sanjay Dayma",Ashutosh Gowariker,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,"111,927"
My Name Is Khan,tt1188996,12 Feb 2010,"Drama, Romance","Shah Rukh Khan, Kajol, Sheetal Menon","Shibani Bathija, Niranjan Iyengar",Karan Johar,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,7.9,"105,477"
Swades,tt0367110,17 Dec 2004,"Drama, Musical","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal","M.G. Sathya, Ashutosh Gowariker, Sameer Sharma",Ashutosh Gowariker,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,8.1,"89,180"
Gangs of Wasseypur,tt1954470,22 Jun 2012,"Action, Comedy, Crime","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui","Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia",Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,"93,766"
Gangs of Wasseypur â€“ Part 2,tt1954470,22 Jun 2012,"Action, Comedy, Crime","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui","Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia",Anurag Kashyap,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",8.2,"93,766"
Barfi!,tt2082197,14 Sep 2012,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz","Anurag Basu, Tani Basu, Sanjeev Dutta",Anurag Basu,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,8.1,"80,832"
